Start,Target,Distance
Adelaide,Chongqing,3058
Adelaide,Copenhagen,8778
Adelaide,Crdoba,6778
Adelaide,Dakar,11754
Adelaide,Darwin,2600
Adelaide,Djibouti,9753
Adelaide,Dublin,9224
Adelaide,Durban,9624
Adelaide,Edinburgh,9133
Adelaide,Frankfurt,9344
Adelaide,Georgetown,8706
Adelaide,Glasgow,9099
Adelaide,Guatemala City,5294
Adelaide,Guayaquil,7054
Adelaide,Hamburg,9041
Adelaide,Hammerfest,7264
Adelaide,Havana,5509
Adelaide,Helsinki,7872
Adelaide,Hobart,1171
Adelaide,Hong Kong,2730
Adelaide,Iquique,6753
Adelaide,Irkutsk,3342
Adelaide,Jakarta,4544
Adelaide,Johannesburg,10025
Adelaide,Kingston,6361
Adelaide,Kinshasa,12687
Adelaide,Kuala Lumpur,5116
Adelaide,La Paz,7193
Adelaide,Leeds,9391
Adelaide,Lima,6623
Adelaide,Lisbon,10317
Adelaide,Liverpool,9345
Adelaide,London,9618
Adelaide,Lyons,9983
Adelaide,Madrid,10501
Adelaide,Manchester,9373
Adelaide,Manila,2868
Adelaide,Marseilles,10150
Adelaide,Mazatln,3357
Adelaide,Mecca,9452
Adelaide,Melbourne,646
Adelaide,Mexico City,4160
Adelaide,Milan,9777
Adelaide,Montevideo,7296
Adelaide,Moscow,7538
Adelaide,Munich,9368
Adelaide,Nagasaki,846
Adelaide,Nagoya,207
Adelaide,Nairobi,11006
Adelaide,Nanjing (Nanking),1854
Adelaide,Naples,9904
Adelaide,New Delhi,5762
Adelaide,Newcastle-on-Tyne,9285
Adelaide,Odessa,8496
Adelaide,Osaka,281
Adelaide,Oslo,8512
Adelaide,Panama City,6645
Adelaide,Paramaribo,9043
Adelaide,Paris,9811
Adelaide,Perth,2149
Adelaide,Plymouth,9554
Adelaide,Port Moresby,2973
Adelaide,Prague,9087
Adelaide,Rangoon,4656
Adelaide,Reykjavk,7721
Adelaide,Rio de Janeiro,9059
Adelaide,Rome,9925
Adelaide,Salvador,10119
Adelaide,Santiago,6142
Adelaide,St. Petersburg,7669
Adelaide,So Paulo,8741
Adelaide,Shanghai,1639
Adelaide,Singapore,5179
Adelaide,Sofia,9216
Adelaide,Stockholm,8229
Adelaide,Sydney,1162
Adelaide,Tananarive,8945
Adelaide,Teheran,7626
Adelaide,Tokyo,137
Adelaide,Tripoli,10614
Adelaide,Venice,9620
Adelaide,Veracruz,4491
Adelaide,Vienna,9178
Adelaide,Vladivostok,1098
Adelaide,Warsaw,8624
Adelaide,Wellington,3229
Adelaide,Zrich,9649
Algiers,Aberdeen,2379
Algiers,Adelaide,10862
Algiers,Algiers,0
Algiers,Amsterdam,1752
Algiers,Ankara,2598
Algiers,Asuncin,5274
Algiers,Athens,1813
Algiers,Auckland,11847
Algiers,Bangkok,9758
Algiers,Barcelona,526
Algiers,Beijing,9150
Algiers,Belm,6075
Algiers,Belfast,1996
Algiers,Belgrade,1709
Algiers,Berlin,1931
Algiers,Birmingham,1755
Algiers,Bogot,8041
Algiers,Bombay,6961
Algiers,Bordeaux,918
Algiers,Bremen,1937
Algiers,Brisbane,12291
Algiers,Bristol,1644
Algiers,Brussels,1561
Algiers,Bucharest,2174
Algiers,Budapest,1811
Algiers,Buenos Aires,4939
Algiers,Cairo,2701
Algiers,Calcutta,8147
Algiers,Canton,10099
Algiers,Cape Town,1422
Algiers,Caracas,7030
Algiers,Cayenne,6140
Algiers,Chihuahua,9257
Algiers,Chongqing,9170
Algiers,Copenhagen,2217
Algiers,Crdoba,5575
Algiers,Dakar,2837
Algiers,Darwin,12297
Algiers,Djibouti,4907
Algiers,Dublin,1873
Algiers,Durban,2670
Algiers,Edinburgh,2118
Algiers,Frankfurt,1636
Algiers,Georgetown,6499
Algiers,Glasgow,2114
Algiers,Guatemala City,8827
Algiers,Guayaquil,8669
Algiers,Hamburg,1952
Algiers,Hammerfest,3956
Algiers,Havana,7541
Algiers,Helsinki,3055
Algiers,Hobart,10507
Algiers,Hong Kong,10283
Algiers,Iquique,6738
Algiers,Irkutsk,7557
Algiers,Jakarta,10789
Algiers,Johannesburg,2663
Algiers,Kingston,7403
Algiers,Kinshasa,3803
Algiers,Kuala Lumpur,10505
Algiers,La Paz,6744
Algiers,Leeds,1889
Algiers,Lima,7812
Algiers,Lisbon,645
Algiers,Liverpool,1862
Algiers,London,1659
Algiers,Lyons,1003
Algiers,Madrid,419
Algiers,Manchester,1869
Algiers,Manila,11375
Algiers,Marseilles,768
Algiers,Mazatln,9598
Algiers,Mecca,3899
Algiers,Melbourne,10889
Algiers,Mexico City,9320
Algiers,Milan,1100
Algiers,Montevideo,4749
Algiers,Moscow,3332
Algiers,Munich,1526
Algiers,Nagasaki,10547
Algiers,Nagoya,10663
Algiers,Nairobi,5219
Algiers,Nanjing (Nanking),9848
Algiers,Naples,1066
Algiers,New Delhi,6846
Algiers,Newcastle-on-Tyne,2014
Algiers,Odessa,2519
Algiers,Osaka,10719
Algiers,Oslo,2620
Algiers,Panama City,8221
Algiers,Paramaribo,6316
Algiers,Paris,1333
Algiers,Perth,9694
Algiers,Plymouth,1533
Algiers,Port Moresby,13738
Algiers,Prague,1797
Algiers,Rangoon,9185
Algiers,Reykjavk,3340
Algiers,Rio de Janeiro,4142
Algiers,Rome,976
Algiers,Salvador,4408
Algiers,Santiago,6033
Algiers,St. Petersburg,3218
Algiers,So Paulo,4382
Algiers,Shanghai,10127
Algiers,Singapore,10872
Algiers,Sofia,1848
Algiers,Stockholm,2752
Algiers,Sydney,11502
Algiers,Tananarive,4756
Algiers,Teheran,4314
Algiers,Tokyo,10840
Algiers,Tripoli,1024
Algiers,Venice,1242
Algiers,Veracruz,9025
Algiers,Vienna,1684
Algiers,Vladivostok,9771
Algiers,Warsaw,2239
Algiers,Wellington,11334
Algiers,Zrich,1268
Amsterdam,Aberdeen,640
Amsterdam,Adelaide,9377
Amsterdam,Algiers,1752
Amsterdam,Amsterdam,0
Amsterdam,Ankara,2561
Amsterdam,Asuncin,5324
Amsterdam,Athens,2192
Amsterdam,Auckland,10099
Amsterdam,Bangkok,9215
Amsterdam,Barcelona,1228
Amsterdam,Beijing,7875
Amsterdam,Belm,6962
Amsterdam,Belfast,248
Amsterdam,Belgrade,1441
Amsterdam,Berlin,593
Amsterdam,Birmingham,202
Amsterdam,Bogot,8250
Amsterdam,Bombay,6855
Amsterdam,Bordeaux,912
Amsterdam,Bremen,301
Amsterdam,Brisbane,10681
Amsterdam,Bristol,182
Amsterdam,Brussels,190
Amsterdam,Bucharest,1855
Amsterdam,Budapest,1203
Amsterdam,Buenos Aires,4648
Amsterdam,Cairo,3276
Amsterdam,Calcutta,7644
Amsterdam,Canton,9121
Amsterdam,Cape Town,2347
Amsterdam,Caracas,7261
Amsterdam,Cayenne,6866
Amsterdam,Chihuahua,8307
Amsterdam,Chongqing,8202
Amsterdam,Copenhagen,622
Amsterdam,Crdoba,5282
Amsterdam,Dakar,4355
Amsterdam,Darwin,11183
Amsterdam,Djibouti,5720
Amsterdam,Dublin,154
Amsterdam,Durban,3302
Amsterdam,Edinburgh,381
Amsterdam,Frankfurt,317
Amsterdam,Georgetown,7034
Amsterdam,Glasgow,365
Amsterdam,Guatemala City,8464
Amsterdam,Guayaquil,8808
Amsterdam,Hamburg,400
Amsterdam,Hammerfest,2233
Amsterdam,Havana,7116
Amsterdam,Helsinki,1530
Amsterdam,Hobart,8885
Amsterdam,Hong Kong,9314
Amsterdam,Iquique,6641
Amsterdam,Irkutsk,6202
Amsterdam,Jakarta,10270
Amsterdam,Johannesburg,3522
Amsterdam,Kingston,7248
Amsterdam,Kinshasa,5431
Amsterdam,Kuala Lumpur,10141
Amsterdam,La Paz,6802
Amsterdam,Leeds,256
Amsterdam,Lima,7778
Amsterdam,Lisbon,1587
Amsterdam,Liverpool,154
Amsterdam,London,294
Amsterdam,Lyons,752
Amsterdam,Madrid,1332
Amsterdam,Manchester,200
Amsterdam,Manila,10419
Amsterdam,Marseilles,1004
Amsterdam,Mazatln,8751
Amsterdam,Mecca,4555
Amsterdam,Melbourne,9317
Amsterdam,Mexico City,8668
Amsterdam,Milan,841
Amsterdam,Montevideo,4490
Amsterdam,Moscow,2162
Amsterdam,Munich,613
Amsterdam,Nagasaki,9191
Amsterdam,Nagoya,9189
Amsterdam,Nairobi,6399
Amsterdam,Nanjing (Nanking),8648
Amsterdam,Naples,1494
Amsterdam,New Delhi,6398
Amsterdam,Newcastle-on-Tyne,335
Amsterdam,Odessa,1983
Amsterdam,Osaka,9271
Amsterdam,Oslo,895
Amsterdam,Panama City,8220
Amsterdam,Paramaribo,6947
Amsterdam,Paris,447
Amsterdam,Perth,8549
Amsterdam,Plymouth,219
Amsterdam,Port Moresby,12337
Amsterdam,Prague,701
Amsterdam,Rangoon,8663
Amsterdam,Reykjavk,1669
Amsterdam,Rio de Janeiro,4647
Amsterdam,Rome,1323
Amsterdam,Salvador,5337
Amsterdam,Santiago,5560
Amsterdam,St. Petersburg,1780
Amsterdam,So Paulo,4772
Amsterdam,Shanghai,8905
Amsterdam,Singapore,10519
Amsterdam,Sofia,1772
Amsterdam,Stockholm,1154
Amsterdam,Sydney,9889
Amsterdam,Tananarive,5269
Amsterdam,Teheran,4107
Amsterdam,Tokyo,9335
Amsterdam,Tripoli,2292
Amsterdam,Venice,955
Amsterdam,Veracruz,8445
Amsterdam,Vienna,945
Amsterdam,Vladivostok,8279
Amsterdam,Warsaw,1120
Amsterdam,Wellington,9585
Amsterdam,Zrich,619
Ankara,Aberdeen,2938
Ankara,Adelaide,8802
Ankara,Algiers,2598
Ankara,Amsterdam,2561
Ankara,Ankara,0
Ankara,Asuncin,2815
Ankara,Athens,822
Ankara,Auckland,10701
Ankara,Bangkok,7161
Ankara,Barcelona,2505
Ankara,Beijing,6885
Ankara,Belm,4544
Ankara,Belfast,2601
Ankara,Belgrade,1149
Ankara,Berlin,2046
Ankara,Birmingham,2752
Ankara,Bogot,5723
Ankara,Bombay,4444
Ankara,Bordeaux,2700
Ankara,Bremen,2386
Ankara,Brisbane,10412
Ankara,Bristol,2666
Ankara,Brussels,2516
Ankara,Bucharest,712
Ankara,Budapest,1358
Ankara,Buenos Aires,2344
Ankara,Cairo,1046
Ankara,Calcutta,5549
Ankara,Canton,7584
Ankara,Cape Town,1441
Ankara,Caracas,4721
Ankara,Cayenne,4369
Ankara,Chihuahua,6743
Ankara,Chongqing,6667
Ankara,Copenhagen,2309
Ankara,Crdoba,2985
Ankara,Dakar,3168
Ankara,Darwin,9809
Ankara,Djibouti,3315
Ankara,Dublin,2506
Ankara,Durban,1129
Ankara,Edinburgh,2801
Ankara,Frankfurt,2247
Ankara,Georgetown,4482
Ankara,Glasgow,2739
Ankara,Guatemala City,6247
Ankara,Guayaquil,6306
Ankara,Hamburg,2280
Ankara,Hammerfest,3469
Ankara,Havana,4946
Ankara,Helsinki,2344
Ankara,Hobart,8767
Ankara,Hong Kong,7760
Ankara,Iquique,4222
Ankara,Irkutsk,5480
Ankara,Jakarta,8195
Ankara,Johannesburg,1542
Ankara,Kingston,4870
Ankara,Kinshasa,4304
Ankara,Kuala Lumpur,7935
Ankara,La Paz,4310
Ankara,Leeds,2813
Ankara,Lima,5338
Ankara,Lisbon,1956
Ankara,Liverpool,2699
Ankara,London,2791
Ankara,Lyons,2377
Ankara,Madrid,2474
Ankara,Manchester,2754
Ankara,Manila,8830
Ankara,Marseilles,2307
Ankara,Mazatln,7040
Ankara,Mecca,2133
Ankara,Melbourne,8997
Ankara,Mexico City,6725
Ankara,Milan,2019
Ankara,Montevideo,2156
Ankara,Moscow,1803
Ankara,Munich,1968
Ankara,Nagasaki,8315
Ankara,Nagoya,8594
Ankara,Nairobi,4278
Ankara,Nanjing (Nanking),7483
Ankara,Naples,1567
Ankara,New Delhi,4248
Ankara,Newcastle-on-Tyne,2855
Ankara,Odessa,765
Ankara,Osaka,8604
Ankara,Oslo,2711
Ankara,Panama City,5769
Ankara,Paramaribo,4417
Ankara,Paris,2600
Ankara,Perth,7289
Ankara,Plymouth,2488
Ankara,Port Moresby,11435
Ankara,Prague,1874
Ankara,Rangoon,6588
Ankara,Reykjavk,2854
Ankara,Rio de Janeiro,2135
Ankara,Rome,1723
Ankara,Salvador,3053
Ankara,Santiago,3435
Ankara,St. Petersburg,2231
Ankara,So Paulo,2222
Ankara,Shanghai,7773
Ankara,Singapore,8307
Ankara,Sofia,845
Ankara,Stockholm,2401
Ankara,Sydney,9679
Ankara,Tananarive,2737
Ankara,Teheran,1724
Ankara,Tokyo,8814
Ankara,Tripoli,1906
Ankara,Venice,1781
Ankara,Veracruz,6426
Ankara,Vienna,1616
Ankara,Vladivostok,7779
Ankara,Warsaw,1656
Ankara,Wellington,10247
Ankara,Zrich,2124
Asuncin,Aberdeen,5588
Asuncin,Adelaide,7673
Asuncin,Algiers,5274
Asuncin,Amsterdam,5324
Asuncin,Ankara,2815
Asuncin,Asuncin,0
Asuncin,Athens,3484
Asuncin,Auckland,10504
Asuncin,Bangkok,4664
Asuncin,Barcelona,5283
Asuncin,Beijing,5651
Asuncin,Belm,2828
Asuncin,Belfast,5319
Asuncin,Belgrade,3960
Asuncin,Berlin,4761
Asuncin,Birmingham,5523
Asuncin,Bogot,2926
Asuncin,Bombay,1696
Asuncin,Bordeaux,5510
Asuncin,Bremen,5107
Asuncin,Brisbane,9336
Asuncin,Bristol,5449
Asuncin,Brussels,5304
Asuncin,Bucharest,3485
Asuncin,Budapest,4134
Asuncin,Buenos Aires,1026
Asuncin,Cairo,2633
Asuncin,Calcutta,3147
Asuncin,Canton,5605
Asuncin,Cape Town,3886
Asuncin,Caracas,1950
Asuncin,Cayenne,2363
Asuncin,Chihuahua,4854
Asuncin,Chongqing,4824
Asuncin,Copenhagen,4951
Asuncin,Crdoba,945
Asuncin,Dakar,4346
Asuncin,Darwin,7747
Asuncin,Djibouti,2138
Asuncin,Dublin,5246
Asuncin,Durban,2692
Asuncin,Edinburgh,5505
Asuncin,Frankfurt,5021
Asuncin,Georgetown,2080
Asuncin,Glasgow,5440
Asuncin,Guatemala City,3634
Asuncin,Guayaquil,3494
Asuncin,Hamburg,4994
Asuncin,Hammerfest,5480
Asuncin,Havana,2513
Asuncin,Helsinki,4610
Asuncin,Hobart,8135
Asuncin,Hong Kong,5742
Asuncin,Iquique,1475
Asuncin,Irkutsk,4930
Asuncin,Jakarta,5623
Asuncin,Johannesburg,2903
Asuncin,Kingston,2145
Asuncin,Kinshasa,5072
Asuncin,Kuala Lumpur,5263
Asuncin,La Paz,1495
Asuncin,Leeds,5565
Asuncin,Lima,2542
Asuncin,Lisbon,4669
Asuncin,Liverpool,5450
Asuncin,London,5577
Asuncin,Lyons,5191
Asuncin,Madrid,5235
Asuncin,Manchester,5507
Asuncin,Manila,6663
Asuncin,Marseilles,5108
Asuncin,Mazatln,4935
Asuncin,Mecca,1882
Asuncin,Melbourne,8107
Asuncin,Mexico City,4386
Asuncin,Milan,4833
Asuncin,Montevideo,1050
Asuncin,Moscow,3743
Asuncin,Munich,4760
Asuncin,Nagasaki,6947
Asuncin,Nagoya,7481
Asuncin,Nairobi,3473
Asuncin,Nanjing (Nanking),5935
Asuncin,Naples,4334
Asuncin,New Delhi,1987
Asuncin,Newcastle-on-Tyne,5587
Asuncin,Odessa,3348
Asuncin,Osaka,7411
Asuncin,Oslo,5250
Asuncin,Panama City,2963
Asuncin,Paramaribo,2203
Asuncin,Paris,5409
Asuncin,Perth,5666
Asuncin,Plymouth,5279
Asuncin,Port Moresby,9611
Asuncin,Prague,4623
Asuncin,Rangoon,4110
Asuncin,Reykjavk,5063
Asuncin,Rio de Janeiro,1479
Asuncin,Rome,4509
Asuncin,Salvador,2446
Asuncin,Santiago,1553
Asuncin,St. Petersburg,4366
Asuncin,So Paulo,1142
Asuncin,Shanghai,6214
Asuncin,Singapore,5620
Asuncin,Sofia,3660
Asuncin,Stockholm,4840
Asuncin,Sydney,8786
Asuncin,Tananarive,1274
Asuncin,Teheran,1279
Asuncin,Tokyo,7741
Asuncin,Tripoli,4358
Asuncin,Venice,4596
Asuncin,Veracruz,4028
Asuncin,Vienna,4398
Asuncin,Vladivostok,6919
Asuncin,Warsaw,4280
Asuncin,Wellington,10200
Asuncin,Zrich,4936
Athens,Aberdeen,2707
Athens,Adelaide,9556
Athens,Algiers,1813
Athens,Amsterdam,2192
Athens,Ankara,822
Athens,Asuncin,3484
Athens,Athens,0
Athens,Auckland,11252
Athens,Bangkok,7952
Athens,Barcelona,1805
Athens,Beijing,7673
Athens,Belm,4770
Athens,Belfast,2307
Athens,Belgrade,814
Athens,Berlin,1818
Athens,Birmingham,2355
Athens,Bogot,6325
Athens,Bombay,5159
Athens,Bordeaux,2077
Athens,Bremen,2108
Athens,Brisbane,11138
Athens,Bristol,2248
Athens,Brussels,2092
Athens,Bucharest,790
Athens,Budapest,1127
Athens,Buenos Aires,3133
Athens,Cairo,1089
Athens,Calcutta,6344
Athens,Canton,8406
Athens,Cape Town,650
Athens,Caracas,5313
Athens,Cayenne,4696
Athens,Chihuahua,7565
Athens,Chongqing,7488
Athens,Copenhagen,2149
Athens,Crdoba,3765
Athens,Dakar,2648
Athens,Darwin,10631
Athens,Djibouti,3530
Athens,Dublin,2187
Athens,Durban,1110
Athens,Edinburgh,2511
Athens,Frankfurt,1880
Athens,Georgetown,4925
Athens,Glasgow,2461
Athens,Guatemala City,7013
Athens,Guayaquil,6935
Athens,Hamburg,2025
Athens,Hammerfest,3647
Athens,Havana,5732
Athens,Helsinki,2506
Athens,Hobart,9448
Athens,Hong Kong,8583
Athens,Iquique,4936
Athens,Irkutsk,6218
Athens,Jakarta,8978
Athens,Johannesburg,1357
Athens,Kingston,5596
Athens,Kinshasa,3807
Athens,Kuala Lumpur,8692
Athens,La Paz,4970
Athens,Leeds,2447
Athens,Lima,6026
Athens,Lisbon,1188
Athens,Liverpool,2345
Athens,London,2358
Athens,Lyons,1796
Athens,Madrid,1752
Athens,Manchester,2392
Athens,Manila,9652
Athens,Marseilles,1661
Athens,Mazatln,7861
Athens,Mecca,2377
Athens,Melbourne,9716
Athens,Mexico City,7532
Athens,Milan,1465
Athens,Montevideo,2941
Athens,Moscow,2245
Athens,Munich,1582
Athens,Nagasaki,9101
Athens,Nagoya,9349
Athens,Nairobi,4257
Athens,Nanjing (Nanking),8289
Athens,Naples,864
Athens,New Delhi,5044
Athens,Newcastle-on-Tyne,2521
Athens,Odessa,1127
Athens,Osaka,9369
Athens,Oslo,2614
Athens,Panama City,6445
Athens,Paramaribo,4803
Athens,Paris,2097
Athens,Perth,8101
Athens,Plymouth,2058
Athens,Port Moresby,12241
Athens,Prague,1609
Athens,Rangoon,7380
Athens,Reykjavk,2984
Athens,Rio de Janeiro,2514
Athens,Rome,1052
Athens,Salvador,3148
Athens,Santiago,4242
Athens,St. Petersburg,2491
Athens,So Paulo,2694
Athens,Shanghai,8579
Athens,Singapore,9060
Athens,Sofia,536
Athens,Stockholm,2428
Athens,Sydney,10387
Athens,Tananarive,3144
Athens,Teheran,2505
Athens,Tokyo,9561
Athens,Tripoli,1090
Athens,Venice,1265
Athens,Veracruz,7227
Athens,Vienna,1312
Athens,Vladivostok,8513
Athens,Warsaw,1630
Athens,Wellington,10777
Athens,Zrich,1634
Auckland,Aberdeen,9486
Auckland,Adelaide,3253
Auckland,Algiers,11847
Auckland,Amsterdam,10099
Auckland,Ankara,10701
Auckland,Asuncin,10504
Auckland,Athens,11252
Auckland,Auckland,0
Auckland,Bangkok,7716
Auckland,Barcelona,11326
Auckland,Beijing,5018
Auckland,Belm,13058
Auckland,Belfast,9852
Auckland,Belgrade,10634
Auckland,Berlin,9971
Auckland,Birmingham,10120
Auckland,Bogot,10635
Auckland,Bombay,9777
Auckland,Bordeaux,10986
Auckland,Bremen,9914
Auckland,Brisbane,2196
Auckland,Bristol,10221
Auckland,Brussels,10289
Auckland,Bucharest,10464
Auckland,Budapest,10366
Auckland,Buenos Aires,9736
Auckland,Cairo,11664
Auckland,Calcutta,8230
Auckland,Canton,5966
Auckland,Cape Town,11842
Auckland,Caracas,10827
Auckland,Cayenne,12499
Auckland,Chihuahua,6310
Auckland,Chongqing,6270
Auckland,Copenhagen,9653
Auckland,Crdoba,9560
Auckland,Dakar,13867
Auckland,Darwin,5138
Auckland,Djibouti,12643
Auckland,Dublin,9974
Auckland,Durban,11761
Auckland,Edinburgh,9744
Auckland,Frankfurt,10220
Auckland,Georgetown,11861
Auckland,Glasgow,9741
Auckland,Guatemala City,8547
Auckland,Guayaquil,10304
Auckland,Hamburg,9909
Auckland,Hammerfest,7902
Auckland,Havana,8648
Auckland,Helsinki,8913
Auckland,Hobart,2419
Auckland,Hong Kong,5962
Auckland,Iquique,9847
Auckland,Irkutsk,5608
Auckland,Jakarta,7636
Auckland,Johannesburg,12194
Auckland,Kingston,9537
Auckland,Kinshasa,15003
Auckland,Kuala Lumpur,8242
Auckland,La Paz,10319
Auckland,Leeds,9989
Auckland,Lima,9851
Auckland,Lisbon,11530
Auckland,Liverpool,9999
Auckland,London,10229
Auckland,Lyons,10844
Auckland,Madrid,11428
Auckland,Manchester,9999
Auckland,Manila,5856
Auckland,Marseilles,11084
Auckland,Mazatln,6611
Auckland,Mecca,12038
Auckland,Melbourne,2643
Auckland,Mexico City,7414
Auckland,Milan,10802
Auckland,Montevideo,9861
Auckland,Moscow,9007
Auckland,Munich,10381
Auckland,Nagasaki,4100
Auckland,Nagoya,3382
Auckland,Nairobi,13974
Auckland,Nanjing (Nanking),5079
Auckland,Naples,11217
Auckland,New Delhi,8774
Auckland,Newcastle-on-Tyne,9863
Auckland,Odessa,10130
Auckland,Osaka,3531
Auckland,Oslo,9229
Auckland,Panama City,9894
Auckland,Paramaribo,12183
Auckland,Paris,10532
Auckland,Perth,5373
Auckland,Plymouth,10316
Auckland,Port Moresby,4050
Auckland,Prague,10146
Auckland,Rangoon,7910
Auckland,Reykjavk,8544
Auckland,Rio de Janeiro,11694
Auckland,Rome,11147
Auckland,Salvador,12885
Auckland,Santiago,8957
Auckland,St. Petersburg,8837
Auckland,So Paulo,11422
Auckland,Shanghai,4887
Auckland,Singapore,8234
Auckland,Sofia,10767
Auckland,Stockholm,9149
Auckland,Sydney,2142
Auckland,Tananarive,11756
Auckland,Teheran,10080
Auckland,Tokyo,3135
Auckland,Tripoli,12091
Auckland,Venice,10748
Auckland,Veracruz,7742
Auckland,Vienna,10357
Auckland,Vladivostok,3658
Auckland,Warsaw,9825
Auckland,Wellington,517
Auckland,Zrich,10602
Bangkok,Aberdeen,9173
Bangkok,Adelaide,4481
Bangkok,Algiers,9758
Bangkok,Amsterdam,9215
Bangkok,Ankara,7161
Bangkok,Asuncin,4664
Bangkok,Athens,7952
Bangkok,Auckland,7716
Bangkok,Bangkok,0
Bangkok,Barcelona,9630
Bangkok,Beijing,3295
Bangkok,Belm,5878
Bangkok,Belfast,9098
Bangkok,Belgrade,8174
Bangkok,Berlin,8629
Bangkok,Birmingham,9412
Bangkok,Bogot,3043
Bangkok,Bombay,3029
